Pesticide Type,SL No (Common Name),Common Name,SL No (Products),Brand Name,Registration No,Registration Holder,Recommended Crops,Recommended Pests,Dosage Rate,Recommendations (Crop | Pest | Dosage),No. of Recommendations,MoA Code
Miticide,1,Ethion,1,Pithion 46.5EC,AP-5242,Padma Oil Company Ltd.,Chilli,Mites,2 ml/L of water,Chilli | Mites | 2 ml/L of water,1,IRAC 1B
Miticide,2,Ethion (5%) + Thiamethoxam (20%),1,Taba 25WDG,AP-4578,Alif Agro,"Chilli, Rice","Thrips, Aphid, BPH",100 g/ha; 0.2 g/L of water,"Chilli | Thrips | 100 g/ha
Chilli | Aphid | 0.2 g/L of water
Rice | BPH | 100 g/ha",3,IRAC 1B
Miticide,3,Fenpropathrin,1,Danitol 10EC,AP-291,Shetu Corporation Limited,"Brinjal, Tea",Red spider mite,1 ml/L of water; 1.00 L/ha,"Brinjal | Red spider mite | 1 ml/L of water
Tea | Red spider mite | 1.00 L/ha",2,IRAC 3A
Miticide,3,Fenpropathrin,2,Ritol 10EC,AP-3509,Rajib Agro Chemicals Ltd.,Tea,Red spider mite,1.00 L/ha,Tea | Red spider mite | 1.00 L/ha,1,IRAC 3A
Miticide,3,Fenpropathrin,3,Dumet 10EC,AP-4577,Mimpex Agrochemicals Limited,Tea,Red mite,1.00 L/ha,Tea | Red mite | 1.00 L/ha,1,IRAC 3A
Miticide,3,Fenpropathrin,4,Fenpro 10EC,AP-4922,Oroni International Limited,Tea,Red spider mite,1.00 L/ha,Tea | Red spider mite | 1.00 L/ha,1,IRAC 3A
Miticide,3,Fenpropathrin,5,Samitol 10EC,AP-5303,SAM Agro Chemical,Chilli,Aphid,2 ml/L of water,Chilli | Aphid | 2 ml/L of water,1,IRAC 3A
Miticide,3,Fenpropathrin,6,Unifen 20EC,AP-5304,Unifarma Bangladesh Industries,Tea,Red Spider Mite,500 ml/ha,Tea | Red Spider Mite | 500 ml/ha,1,IRAC 3A
