,SL No (Common Name),Common Name,SL No (Products),Brand Name,Registration No,Registration Holder,Recommended Crops,Recommended Pests,Dosage Rate,Recommendations (Crop | Pest | Dosage),No. of Recommendations
,1,Abamectin,1,Vertimec 1.8EC,AP-890,Syngenta Bangladesh Limited,"Tea, Brinjal, Jujube, Litchi","Red spider mite, Mite",1.25 L/ha; 1.20 L/ha; 1.25 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Brinjal | Red spider mite | 1.20 L/ha
Jujube, Litchi | Mite | 1.25 ml/L of water",3
,1,Abamectin,2,Abom 1.8EC,AP-891,McDonald Crop Care Ltd.,"Tea, Rice, Brinjal","Red spider mite, BPH",500 ml/ha; 1.2 ml/L of water,"Tea | Red spider mite | 500 ml/ha
Rice | BPH | 500 ml/ha
Brinjal | Red spider mite | 1.2 ml/L of water",3
,1,Abamectin,3,Abatin 1.8EC,AP-1017,National AgriCare Import & Export Ltd,Cotton,Bollworm (Spotted & American),1250-1500 ml/ha,Cotton | Bollworm (Spotted & American) | 1250-1500 ml/ha,1
,1,Abamectin,4,Sunmectin 1.8EC,AP-1034,Auto Crop Care Limited,"Tea, Cotton, Rice, Brinjal","Red spider mite, Helopeltis (Mosquito bug), Bollworm, Aphid, Jassid, BPH, Red spider mites",1.25 L/ha; 1.20 L/ha; 1.50 L/ha; 1.0 L/ha; 1.20 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Tea | Helopeltis (Mosquito bug) | 1.20 L/ha
Cotton | Bollworm, Aphid, Jassid | 1.50 L/ha
Rice | BPH | 1.0 L/ha
Brinjal | Red spider mites | 1.20 ml/L of water",5
,1,Abamectin,5,Kraft 1.8EC,AP-1141,Oroni International Limited,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,6,Toptin 1.8EC,AP-1153,East West Chemicals Ltd.,Rice,BPH & Hispa,1.0 L/ha,Rice | BPH & Hispa | 1.0 L/ha,1
,1,Abamectin,7,Licar 1.8EC,AP-1206,Corbel International Limited,Rice,BPH & Hispa,1.0 L/ha,Rice | BPH & Hispa | 1.0 L/ha,1
,1,Abamectin,8,Ambush 1.8EC,AP-1241,Haychem (Bangladesh) Limited,"Tea, Rice, Brinjal","Red spider mite, BPH",1.25 L/ha; 1.0 L/ha; 1.20 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Rice | BPH | 1.0 L/ha
Brinjal | Red spider mite | 1.20 ml/L of water",3
,1,Abamectin,9,Lakad 1.8EC,AP-1282,Intefa,"Tea, Brinjal",Red spider mite,1.25 L/ha; 1.20 ml/Lof water,"Tea | Red spider mite | 1.25 L/ha
Brinjal | Red spider mite | 1.20 ml/Lof water",2
,1,Abamectin,10,Acamite 1.8EC,AP-1286,ACI Formulations Limited,"Tea, Rice","Red spider mite, BPH",1.25 L/ha; 1.00 L/ha,"Tea | Red spider mite | 1.25 L/ha
Rice | BPH | 1.00 L/ha",2
,1,Abamectin,11,Alba 1.8EC,AP-1467,SAMP Limited,Rice,"BPH, Hispa",1.00 L/ha,"Rice | BPH, Hispa | 1.00 L/ha",1
,1,Abamectin,12,Iprotin 1.8EC,AP-1509,Surovi Agro Industries Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,13,Basket 1.8EC,AP-1553,Aama Green Care,"Rice, Tea","BPH, Red spider mite",1.00 L/ha; 500 ml/ha,"Rice | BPH | 1.00 L/ha
